location_zone,latitude,longitude,hour,day_of_week,incident_type,severity
Belgaum - Camp Area,15.878226,74.515974,17,3,vandalism,3
Belgaum - Camp Area,15.879401,74.515529,0,1,burglary,2
Belgaum - Tilakwadi,15.850483,74.510031,15,3,burglary,2
Belgaum - Vadgaon,15.844765,74.517933,8,5,traffic_accident,1
Belgaum - Camp Area,15.855501,74.520989,9,3,traffic_accident,3
Belgaum - Hindwadi,15.878884,74.481887,1,1,harassment,2
Belgaum - Hindwadi,15.852425,74.479118,20,4,vandalism,1
Belgaum - Shahapur,15.824611,74.50557,4,1,theft,1
Belgaum - Tilakwadi,15.866129,74.495043,5,1,harassment,1
Belgaum - Shahapur,15.837915,74.527779,21,0,theft,3
Belgaum - Shahapur,15.834259,74.472924,18,5,vandalism,1
Belgaum - Hindwadi,15.851548,74.476258,18,0,suspicious_activity,2
Belgaum - Camp Area,15.864871,74.503664,20,3,vandalism,1
Belgaum - Khanapur Road,15.851841,74.471797,12,2,traffic_accident,3
Belgaum - Shahapur,15.834407,74.499059,3,3,suspicious_activity,1
Belgaum - Hindwadi,15.86097,74.500299,4,2,harassment,1
Belgaum - Shahapur,15.844549,74.514719,22,5,suspicious_activity,1
Belgaum - Shahapur,15.860663,74.480397,10,6,harassment,1
Belgaum - Hindwadi,15.838943,74.513495,20,4,suspicious_activity,1
Belgaum - Khanapur Road,15.865975,74.505022,23,6,suspicious_activity,1
Belgaum - Hindwadi,15.87202,74.522398,7,1,burglary,2
Belgaum - Khanapur Road,15.87004,74.486882,12,0,theft,1
Belgaum - Hindwadi,15.843396,74.521183,22,6,burglary,2
Belgaum - Tilakwadi,15.835255,74.509054,9,0,vandalism,1
Belgaum - Tilakwadi,15.879899,74.487255,18,5,burglary,1
Belgaum - Tilakwadi,15.849658,74.487976,2,2,burglary,3
Belgaum - Shahapur,15.831701,74.523559,16,6,theft,1
Belgaum - Camp Area,15.875974,74.527705,15,6,burglary,3
Belgaum - Shahapur,15.854514,74.494441,22,3,burglary,1
Belgaum - Shahapur,15.869936,74.482913,20,2,vandalism,2
Belgaum - Hindwadi,15.85326,74.478338,14,5,burglary,1
Belgaum - Tilakwadi,15.840661,74.494133,10,5,burglary,1
Belgaum - Shahapur,15.875949,74.497803,19,0,burglary,1
Belgaum - Khanapur Road,15.872838,74.474679,21,0,traffic_accident,1
Belgaum - Hindwadi,15.82395,74.507711,11,0,theft,2
Belgaum - Shahapur,15.821972,74.499465,8,4,burglary,3
Belgaum - Camp Area,15.836355,74.474533,18,0,suspicious_activity,1
