location_zone,latitude,longitude,hour,day_of_week,incident_type,severity
Bengaluru - Jayanagar,12.993903,77.645856,23,1,theft,2
Bengaluru - Indiranagar,13.026523,77.579713,15,1,vandalism,2
Bengaluru - HSR Layout,12.906315,77.524272,22,3,theft,2
Bengaluru - HSR Layout,13.016561,77.54069,10,6,suspicious_activity,1
Bengaluru - Electronic City,12.976256,77.699236,17,3,burglary,1
Bengaluru - Whitefield,13.017111,77.558777,19,2,theft,1
Bengaluru - MG Road,13.045193,77.57997,4,0,burglary,1
Bengaluru - MG Road,12.987556,77.666756,5,3,traffic_accident,1
Bengaluru - MG Road,13.031325,77.607181,12,6,suspicious_activity,2
Bengaluru - Hebbal,12.982779,77.556672,12,5,burglary,2
Bengaluru - Electronic City,12.930712,77.680633,18,1,theft,2
Bengaluru - Whitefield,13.018298,77.704998,2,3,vandalism,2
Bengaluru - HSR Layout,12.909317,77.649836,8,6,vandalism,2
Bengaluru - Jayanagar,12.902274,77.628924,20,1,suspicious_activity,1
Bengaluru - Jayanagar,12.930181,77.527407,17,2,suspicious_activity,1
Bengaluru - MG Road,12.937819,77.5759,14,0,harassment,1
Bengaluru - Electronic City,12.922101,77.549189,23,3,traffic_accident,1
Bengaluru - Electronic City,12.907627,77.524735,20,3,traffic_accident,3
Bengaluru - MG Road,13.026271,77.559989,20,2,harassment,1
Bengaluru - Jayanagar,13.030714,77.542033,6,0,burglary,1
Bengaluru - Jayanagar,13.040576,77.706442,20,6,suspicious_activity,1
Bengaluru - Jayanagar,12.970428,77.607667,9,6,suspicious_activity,2
Bengaluru - HSR Layout,13.044255,77.696772,0,4,vandalism,1
Bengaluru - Jayanagar,13.001708,77.523672,17,3,traffic_accident,1
Bengaluru - Jayanagar,12.909131,77.521971,22,4,harassment,1
Bengaluru - HSR Layout,13.033817,77.582294,0,4,burglary,1
Bengaluru - Hebbal,13.029339,77.648308,2,5,theft,2
Bengaluru - MG Road,12.916003,77.680644,14,6,vandalism,1
Bengaluru - Whitefield,13.015997,77.626743,7,0,burglary,1
Bengaluru - HSR Layout,13.033199,77.702914,21,3,harassment,2
Bengaluru - Jayanagar,12.932498,77.662014,11,4,burglary,3
Bengaluru - HSR Layout,12.949983,77.668996,16,0,suspicious_activity,1
Bengaluru - Whitefield,12.9058,77.659406,21,0,vandalism,2
Bengaluru - Indiranagar,13.00825,77.53791,13,6,burglary,1
Bengaluru - Whitefield,12.941115,77.70659,16,5,burglary,2
Bengaluru - HSR Layout,12.987939,77.632948,5,2,vandalism,1
Bengaluru - Hebbal,12.955758,77.71752,13,4,theft,1
Bengaluru - Jayanagar,12.949529,77.683612,7,0,vandalism,1
Bengaluru - Hebbal,13.046067,77.70791,4,6,vandalism,1
Bengaluru - Hebbal,12.99464,77.619717,12,4,burglary,1
Bengaluru - Jayanagar,12.901185,77.602278,0,4,traffic_accident,3
Bengaluru - MG Road,12.90179,77.666007,9,6,suspicious_activity,3
Bengaluru - Electronic City,12.919281,77.550006,20,1,traffic_accident,3
Bengaluru - HSR Layout,12.983704,77.651402,8,0,harassment,2
Bengaluru - MG Road,12.997789,77.660792,11,0,theft,1
Bengaluru - Jayanagar,12.960757,77.578498,12,4,vandalism,3
Bengaluru - MG Road,12.96606,77.631475,4,6,traffic_accident,1
Bengaluru - Indiranagar,12.94764,77.59057,7,2,burglary,1
Bengaluru - MG Road,12.962873,77.682172,20,6,harassment,1
Bengaluru - Jayanagar,12.952531,77.681418,1,2,theft,1
Bengaluru - Indiranagar,12.999121,77.560199,21,2,vandalism,2
Bengaluru - Jayanagar,12.905405,77.604825,13,5,burglary,3
Bengaluru - Hebbal,12.914352,77.531982,7,0,harassment,1
Bengaluru - Hebbal,13.049759,77.660454,2,0,harassment,2
Bengaluru - Indiranagar,12.961372,77.603377,6,2,burglary,1
Bengaluru - Hebbal,12.965676,77.703566,0,4,harassment,2
Bengaluru - Indiranagar,12.963764,77.626206,1,2,theft,1
Bengaluru - Indiranagar,12.934664,77.596547,5,6,theft,1
Bengaluru - HSR Layout,13.014497,77.654643,12,4,theft,2
Bengaluru - Electronic City,12.950923,77.698497,5,0,vandalism,2
Bengaluru - Hebbal,12.957,77.569656,19,2,harassment,3
Bengaluru - Indiranagar,12.983543,77.524745,13,2,burglary,1
Bengaluru - Electronic City,13.006416,77.524645,1,0,theft,2
Bengaluru - MG Road,12.947355,77.625533,0,2,vandalism,1
Bengaluru - Whitefield,12.95482,77.635938,18,5,burglary,1
Bengaluru - Indiranagar,12.998584,77.615367,9,2,suspicious_activity,2
Bengaluru - Indiranagar,12.905553,77.663985,16,0,vandalism,1
Bengaluru - Indiranagar,12.990435,77.715773,17,0,traffic_accident,2
Bengaluru - Whitefield,13.029541,77.666859,17,0,theft,1
Bengaluru - Hebbal,12.930283,77.620951,23,6,suspicious_activity,3
Bengaluru - Jayanagar,12.981193,77.61197,19,2,theft,1
Bengaluru - Electronic City,12.988651,77.571584,8,3,theft,1
Bengaluru - HSR Layout,12.919267,77.531327,10,2,theft,1
Bengaluru - Jayanagar,12.967939,77.632036,1,5,suspicious_activity,2
Bengaluru - Hebbal,12.932376,77.642027,11,3,harassment,3
Bengaluru - Jayanagar,12.969626,77.610995,18,5,suspicious_activity,3
