location_zone,latitude,longitude,hour,day_of_week,incident_type,severity
Dharwad - Line Bazar,15.441397,75.00476,10,2,vandalism,3
Dharwad - Navalur,15.44621,75.005386,17,6,suspicious_activity,2
Dharwad - Saptapur,15.447874,75.02019,12,4,burglary,1
Dharwad - KCD Circle,15.445349,74.999547,11,0,burglary,2
Dharwad - Vidyagiri,15.437927,75.025753,22,1,suspicious_activity,1
Dharwad - Sattur,15.449758,75.004038,10,6,burglary,1
Dharwad - Sattur,15.465601,75.039631,14,4,traffic_accident,1
Dharwad - Vidyagiri,15.449946,75.006132,6,6,traffic_accident,3
Dharwad - Navalur,15.453331,75.017783,13,4,suspicious_activity,1
Dharwad - Navalur,15.440618,75.005819,6,2,suspicious_activity,1
Dharwad - Sattur,15.476547,75.031199,14,0,traffic_accident,2
Dharwad - Line Bazar,15.457844,75.024152,0,1,harassment,2
Dharwad - Line Bazar,15.460053,74.985999,10,0,suspicious_activity,2
Dharwad - Line Bazar,15.436768,75.028524,12,6,burglary,1
Dharwad - Sattur,15.451708,74.984464,11,1,traffic_accident,1
Dharwad - Saptapur,15.43192,74.984676,1,3,vandalism,1
Dharwad - KCD Circle,15.467279,75.001535,9,4,vandalism,2
Dharwad - KCD Circle,15.433753,74.999444,21,6,theft,2
Dharwad - Line Bazar,15.472209,75.030499,19,6,burglary,2
Dharwad - Vidyagiri,15.476802,75.030419,4,6,burglary,1
Dharwad - Navalur,15.47796,74.987062,14,2,burglary,1
Dharwad - Saptapur,15.432346,75.014687,22,5,suspicious_activity,2
Dharwad - Vidyagiri,15.43211,75.030556,14,4,traffic_accident,2
Dharwad - Vidyagiri,15.446157,75.004492,6,3,theft,2
Dharwad - Navalur,15.441791,75.027246,8,2,vandalism,3
Dharwad - Vidyagiri,15.461722,75.012886,3,4,suspicious_activity,1
Dharwad - KCD Circle,15.451836,74.996075,17,2,suspicious_activity,3
Dharwad - Sattur,15.459723,74.997571,15,0,vandalism,1
Dharwad - KCD Circle,15.452225,75.012231,19,5,vandalism,1
Dharwad - Vidyagiri,15.463475,75.002514,7,0,harassment,3
Dharwad - Saptapur,15.449325,75.004251,20,2,vandalism,1
Dharwad - Line Bazar,15.452384,75.005819,19,1,harassment,1
Dharwad - Vidyagiri,15.443769,74.98302,0,5,suspicious_activity,1
Dharwad - Saptapur,15.435775,75.025718,22,3,suspicious_activity,2
Dharwad - Line Bazar,15.442885,75.010195,6,1,theft,1
Dharwad - Navalur,15.465399,74.98294,19,5,burglary,1
Dharwad - Saptapur,15.430409,75.024607,15,3,traffic_accident,1
Dharwad - Line Bazar,15.476883,75.017164,19,5,burglary,1
Dharwad - Line Bazar,15.443124,74.986699,7,3,burglary,1
Dharwad - Vidyagiri,15.451005,74.995513,19,4,suspicious_activity,2
Dharwad - Saptapur,15.441541,75.009168,23,2,suspicious_activity,1
Dharwad - Vidyagiri,15.472426,75.032976,14,3,harassment,3
Dharwad - Vidyagiri,15.449732,75.018576,22,5,harassment,1
Dharwad - Vidyagiri,15.442288,75.03244,13,4,harassment,2
Dharwad - Navalur,15.45396,74.999728,1,2,suspicious_activity,1
Dharwad - Vidyagiri,15.451578,74.99904,0,4,harassment,1
Dharwad - Navalur,15.473979,74.994238,3,5,burglary,1
Dharwad - KCD Circle,15.443912,75.029098,14,2,burglary,3
Dharwad - Vidyagiri,15.469903,75.009374,0,2,traffic_accident,2
Dharwad - Saptapur,15.430639,75.036292,18,0,burglary,1
Dharwad - Sattur,15.443869,74.987964,16,2,suspicious_activity,3
Dharwad - Saptapur,15.471635,75.013922,23,2,harassment,1
Dharwad - Line Bazar,15.442827,75.029676,1,6,suspicious_activity,1
Dharwad - Sattur,15.444585,75.036592,13,0,theft,1
Dharwad - KCD Circle,15.434736,74.986185,21,2,harassment,1
Dharwad - KCD Circle,15.43994,74.986772,7,0,vandalism,1
Dharwad - Navalur,15.457275,74.993982,5,6,theft,2
Dharwad - KCD Circle,15.451428,74.985601,4,0,suspicious_activity,1
Dharwad - KCD Circle,15.430174,75.020037,7,3,suspicious_activity,2
Dharwad - Line Bazar,15.470176,75.018937,20,0,theft,1
Dharwad - Saptapur,15.438588,75.038507,21,6,traffic_accident,1
Dharwad - Saptapur,15.476794,75.031168,16,6,traffic_accident,1
Dharwad - Vidyagiri,15.445134,75.003188,10,3,vandalism,2
Dharwad - Saptapur,15.458787,75.038051,3,6,traffic_accident,1
Dharwad - Line Bazar,15.461848,75.018223,19,2,vandalism,1
Dharwad - Sattur,15.435737,75.035835,11,4,suspicious_activity,1
Dharwad - KCD Circle,15.454037,75.032438,4,3,vandalism,1
Dharwad - Sattur,15.466349,74.991615,16,3,traffic_accident,1
Dharwad - Line Bazar,15.441402,75.028758,15,6,harassment,2
Dharwad - Vidyagiri,15.453788,74.982544,18,4,suspicious_activity,1
