location_zone,latitude,longitude,hour,day_of_week,incident_type,severity
Hassan - Vidya Nagar,12.984598,76.117172,11,2,theft,1
Hassan - Salagame Road,13.014064,76.090915,11,4,harassment,2
Hassan - Salagame Road,12.98272,76.099481,6,2,traffic_accident,2
Hassan - Sampige Nagar,12.995031,76.118795,19,6,suspicious_activity,1
Hassan - Kuvempu Nagar,13.000229,76.087365,16,4,burglary,1
Hassan - Sampige Nagar,13.005667,76.124372,8,6,vandalism,1
Hassan - Salagame Road,12.991057,76.083742,19,0,suspicious_activity,1
Hassan - Kuvempu Nagar,12.987216,76.086395,11,6,vandalism,1
Hassan - Sampige Nagar,13.00225,76.08759,6,6,suspicious_activity,2
Hassan - Vidya Nagar,12.986604,76.094062,18,5,traffic_accident,1
Hassan - Sampige Nagar,13.020771,76.10281,1,1,traffic_accident,1
Hassan - Kuvempu Nagar,13.02672,76.090807,15,2,burglary,1
Hassan - BM Road,12.989385,76.108594,19,6,suspicious_activity,2
Hassan - BM Road,12.998819,76.089877,23,0,burglary,3
Hassan - Kuvempu Nagar,12.993522,76.103672,7,3,traffic_accident,1
Hassan - Vidya Nagar,13.003693,76.090251,19,6,theft,1
Hassan - Salagame Road,13.021543,76.129309,8,3,traffic_accident,1
Hassan - Salagame Road,13.013134,76.118009,21,4,vandalism,1
Hassan - Vidya Nagar,13.006602,76.084422,14,4,harassment,3
Hassan - Sampige Nagar,12.983515,76.09666,0,5,theft,1
Hassan - Kuvempu Nagar,12.994936,76.102083,21,3,vandalism,2
Hassan - Sampige Nagar,12.981391,76.123065,2,6,harassment,2
Hassan - Kuvempu Nagar,13.007806,76.108426,10,4,theft,1
Hassan - Sampige Nagar,13.019954,76.088836,6,2,vandalism,1
Hassan - Sampige Nagar,13.00896,76.127126,16,6,burglary,1
Hassan - Sampige Nagar,12.990821,76.101974,2,1,vandalism,1
Hassan - BM Road,13.021308,76.104408,2,1,traffic_accident,1
Hassan - Vidya Nagar,12.981008,76.116478,1,6,vandalism,3
Hassan - Vidya Nagar,13.026628,76.122401,17,6,theft,1
Hassan - Kuvempu Nagar,13.009679,76.115171,15,6,vandalism,1
Hassan - Vidya Nagar,12.999735,76.104106,20,5,theft,2
Hassan - Vidya Nagar,12.986976,76.118459,20,5,vandalism,2
Hassan - BM Road,13.011449,76.087833,11,2,harassment,2
Hassan - Kuvempu Nagar,12.980855,76.10814,2,0,theft,2
Hassan - Kuvempu Nagar,13.02664,76.087127,12,0,vandalism,2
Hassan - Vidya Nagar,13.009897,76.115598,7,3,harassment,1
Hassan - BM Road,13.02454,76.12062,15,0,traffic_accident,3
Hassan - Sampige Nagar,12.98053,76.11733,0,0,harassment,1
Hassan - BM Road,13.027506,76.122523,19,4,theft,1
Hassan - Vidya Nagar,13.027441,76.098565,6,2,harassment,3
Hassan - Salagame Road,13.01982,76.097201,15,0,harassment,1
Hassan - Sampige Nagar,12.991554,76.116911,15,2,vandalism,1
Hassan - Sampige Nagar,13.017443,76.115252,9,0,burglary,3
Hassan - Vidya Nagar,12.997946,76.114382,21,4,traffic_accident,2
Hassan - Salagame Road,13.004996,76.091907,6,6,suspicious_activity,1
Hassan - Sampige Nagar,12.997208,76.112219,20,3,harassment,3
Hassan - Kuvempu Nagar,13.003128,76.126571,8,3,traffic_accident,2
Hassan - Vidya Nagar,13.029444,76.091878,7,4,theft,2
Hassan - Kuvempu Nagar,13.014563,76.105006,11,5,burglary,1
Hassan - BM Road,13.02485,76.107481,1,6,theft,1
Hassan - BM Road,12.981448,76.116364,10,4,traffic_accident,1
Hassan - Kuvempu Nagar,13.020177,76.114841,2,1,theft,1
Hassan - Vidya Nagar,13.010452,76.086189,22,2,traffic_accident,3
Hassan - Sampige Nagar,12.986822,76.125896,5,1,burglary,1
Hassan - Vidya Nagar,13.008303,76.087243,16,4,suspicious_activity,1
Hassan - Salagame Road,12.98899,76.123637,11,5,suspicious_activity,1
Hassan - BM Road,13.006483,76.107634,19,1,harassment,2
Hassan - Salagame Road,12.989873,76.10342,20,6,traffic_accident,1
Hassan - Salagame Road,13.000603,76.08403,10,2,harassment,3
Hassan - Sampige Nagar,13.005004,76.096194,5,0,traffic_accident,2
Hassan - Salagame Road,13.019781,76.09979,11,0,harassment,2
Hassan - Sampige Nagar,12.987288,76.124929,1,0,harassment,2
Hassan - Sampige Nagar,12.996332,76.097998,14,1,burglary,2
Hassan - Salagame Road,12.999322,76.115409,1,3,theft,3
Hassan - Salagame Road,12.984621,76.123507,11,0,harassment,2
Hassan - BM Road,12.99517,76.108552,8,6,traffic_accident,2
Hassan - Sampige Nagar,13.017255,76.081596,0,0,harassment,1
