location_zone,latitude,longitude,hour,day_of_week,incident_type,severity
Hubli - Gokul Road,15.33463,75.15043,9,5,vandalism,1
Hubli - Old Hubli,15.380703,75.1482,3,6,vandalism,2
Hubli - Old Hubli,15.365314,75.122446,8,0,suspicious_activity,1
Hubli - Navanagar,15.337489,75.093902,10,1,vandalism,2
Hubli - Navanagar,15.373734,75.150941,19,0,theft,1
Hubli - Navanagar,15.384796,75.085049,3,6,burglary,1
Hubli - Bengeri,15.33832,75.159336,8,6,theft,1
Hubli - Vidyanagar,15.347056,75.116406,14,6,harassment,1
Hubli - Navanagar,15.363637,75.158629,8,1,theft,2
Hubli - Vidyanagar,15.364021,75.120831,11,3,suspicious_activity,2
Hubli - Vidyanagar,15.372562,75.080215,15,6,traffic_accident,1
Hubli - Vidyanagar,15.388914,75.154061,17,2,vandalism,3
Hubli - Gokul Road,15.365875,75.124095,18,1,theft,2
Hubli - Old Hubli,15.34086,75.089412,23,5,traffic_accident,2
Hubli - Vidyanagar,15.334194,75.108147,9,1,suspicious_activity,2
Hubli - Navanagar,15.340909,75.091831,18,5,harassment,1
Hubli - Bengeri,15.357232,75.126797,15,3,harassment,1
Hubli - Navanagar,15.351782,75.098445,15,4,harassment,2
Hubli - Bengeri,15.349426,75.097923,21,0,theft,2
Hubli - Vidyanagar,15.357357,75.103311,21,0,harassment,2
Hubli - Gokul Road,15.339822,75.083495,0,2,burglary,1
Hubli - Keshwapur,15.340264,75.096177,22,2,theft,1
Hubli - Bengeri,15.350811,75.085203,20,6,suspicious_activity,1
Hubli - Navanagar,15.387836,75.090273,7,4,harassment,2
Hubli - Vidyanagar,15.36496,75.083259,10,6,suspicious_activity,1
Hubli - Gokul Road,15.354077,75.13571,17,6,harassment,1
Hubli - Old Hubli,15.342748,75.143684,3,0,vandalism,1
Hubli - Vidyanagar,15.379845,75.119573,6,0,vandalism,2
Hubli - Keshwapur,15.372862,75.094827,9,5,suspicious_activity,2
Hubli - Keshwapur,15.350782,75.082772,9,1,burglary,1
Hubli - Keshwapur,15.35368,75.115072,5,3,theft,1
Hubli - Navanagar,15.361329,75.08954,14,3,theft,1
Hubli - Bengeri,15.337411,75.121648,15,5,vandalism,2
Hubli - Old Hubli,15.345976,75.144249,2,1,theft,1
Hubli - Old Hubli,15.340523,75.080184,12,3,theft,1
Hubli - Bengeri,15.340101,75.12509,2,2,harassment,1
Hubli - Keshwapur,15.340287,75.109227,19,6,vandalism,3
Hubli - Keshwapur,15.37797,75.148404,14,6,harassment,3
Hubli - Navanagar,15.341158,75.110933,22,0,vandalism,1
Hubli - Vidyanagar,15.338233,75.10058,18,2,suspicious_activity,3
Hubli - Gokul Road,15.345287,75.138834,19,6,theft,1
Hubli - Navanagar,15.33776,75.080203,19,4,traffic_accident,2
Hubli - Navanagar,15.360868,75.095467,0,4,harassment,1
Hubli - Vidyanagar,15.330488,75.087371,17,6,suspicious_activity,2
Hubli - Keshwapur,15.38216,75.119023,23,1,traffic_accident,1
Hubli - Vidyanagar,15.340429,75.157821,23,4,suspicious_activity,1
Hubli - Navanagar,15.388497,75.101813,0,1,burglary,1
Hubli - Old Hubli,15.350103,75.107031,4,5,suspicious_activity,1
Hubli - Vidyanagar,15.357589,75.089194,14,4,burglary,1
Hubli - Navanagar,15.357813,75.116468,18,3,vandalism,1
Hubli - Navanagar,15.378439,75.092219,1,0,harassment,2
Hubli - Bengeri,15.380695,75.09616,16,6,traffic_accident,2
Hubli - Keshwapur,15.330178,75.158798,20,1,vandalism,2
Hubli - Navanagar,15.338256,75.127273,5,3,harassment,1
Hubli - Vidyanagar,15.354196,75.100638,21,5,burglary,1
Hubli - Bengeri,15.375029,75.141511,22,0,burglary,2
Hubli - Gokul Road,15.352969,75.152524,15,6,suspicious_activity,2
Hubli - Bengeri,15.381323,75.130014,6,4,theft,2
Hubli - Vidyanagar,15.388158,75.146479,15,0,burglary,1
Hubli - Gokul Road,15.35438,75.111925,16,4,suspicious_activity,1
Hubli - Keshwapur,15.387583,75.11415,4,2,suspicious_activity,2
Hubli - Vidyanagar,15.332815,75.15943,3,4,theft,1
Hubli - Navanagar,15.371699,75.151091,23,3,vandalism,1
Hubli - Gokul Road,15.36786,75.122415,18,6,theft,1
Hubli - Keshwapur,15.366934,75.116896,21,5,vandalism,1
Hubli - Gokul Road,15.371864,75.136513,1,5,harassment,3
Hubli - Bengeri,15.387632,75.109123,4,2,harassment,2
Hubli - Gokul Road,15.335559,75.114304,12,4,suspicious_activity,2
Hubli - Bengeri,15.331575,75.119059,16,5,traffic_accident,1
Hubli - Vidyanagar,15.354023,75.159797,21,5,harassment,1
Hubli - Navanagar,15.37921,75.150929,2,5,burglary,1
Hubli - Gokul Road,15.343524,75.102316,3,0,theft,1
Hubli - Vidyanagar,15.337669,75.101636,14,6,suspicious_activity,1
Hubli - Navanagar,15.386711,75.131461,16,3,vandalism,1
Hubli - Gokul Road,15.34393,75.147571,19,4,burglary,1
Hubli - Bengeri,15.372695,75.09332,8,4,harassment,1
Hubli - Vidyanagar,15.36446,75.083383,21,6,vandalism,2
Hubli - Old Hubli,15.387425,75.103215,22,3,theft,1
Hubli - Bengeri,15.374687,75.159805,15,2,burglary,2
Hubli - Vidyanagar,15.332253,75.09753,1,0,vandalism,2
Hubli - Keshwapur,15.387241,75.14151,0,4,burglary,1
Hubli - Keshwapur,15.355289,75.137712,8,6,traffic_accident,1
Hubli - Keshwapur,15.358617,75.103631,17,0,traffic_accident,1
Hubli - Vidyanagar,15.349782,75.14992,3,0,harassment,1
Hubli - Keshwapur,15.381516,75.133243,9,2,theft,2
Hubli - Vidyanagar,15.344523,75.137852,4,2,harassment,2
Hubli - Vidyanagar,15.34792,75.142128,20,4,burglary,1
Hubli - Gokul Road,15.358381,75.113009,4,1,burglary,3
