location_zone,latitude,longitude,hour,day_of_week,incident_type,severity,rainfall_mm
Mysuru - Saraswathipuram,12.303478,76.629675,9,1,burglary,2,25.6954
Mysuru - Chamundipuram,12.276859,76.654731,9,0,burglary,2,26.6579
Mysuru - JP Nagar,12.261115,76.632256,1,3,harassment,1,3.4692
Mysuru - Agrahara,12.299268,76.650385,19,4,vandalism,3,12.6589
Mysuru - JP Nagar,12.262594,76.630833,2,4,vandalism,2,9.4484
Mysuru - Jayanagar,12.291122,76.637923,14,3,suspicious_activity,2,11.3533
Mysuru - JP Nagar,12.26567,76.631914,4,2,harassment,1,16.3721
Mysuru - Gokulam,12.329209,76.6395,22,5,suspicious_activity,1,13.5033
Mysuru - Nazarbad,12.309512,76.662194,0,5,burglary,3,22.2031
Mysuru - K.R. Mohalla,12.297624,76.644508,0,5,theft,2,21.1497
Mysuru - Hebbal Industrial Area,12.343874,76.651021,1,6,traffic_accident,1,22.5842
Mysuru - Nazarbad,12.31455,76.660501,6,6,vandalism,1,3.4828
Mysuru - Saraswathipuram,12.297853,76.621734,22,1,theft,2,27.595
Mysuru - Kuvempunagar,12.28225,76.620119,15,5,traffic_accident,1,10.3334
Mysuru - Saraswathipuram,12.302584,76.623967,8,1,burglary,1,15.7459
Mysuru - Ashokapuram,12.269128,76.648004,7,5,harassment,2,17.8009
Mysuru - Devaraja Mohalla,12.309988,76.650354,15,3,harassment,2,18.0569
Mysuru - Nazarbad,12.306652,76.669172,13,6,traffic_accident,3,13.9633
Mysuru - Jayalakshmipuram,12.315206,76.625769,20,1,theft,1,25.0495
Mysuru - Agrahara,12.296239,76.658689,10,6,burglary,1,5.6536
Mysuru - K.R. Mohalla,12.302069,76.638901,6,1,suspicious_activity,2,16.7495
Mysuru - JP Nagar,12.269213,76.632431,22,2,harassment,2,12.0529
Mysuru - K.R. Mohalla,12.303588,76.640078,0,1,traffic_accident,1,7.5752
Mysuru - Srirampura,12.256686,76.613636,23,0,traffic_accident,2,10.678
Mysuru - Ashokapuram,12.274747,76.64528,8,5,harassment,2,24.8188
Mysuru - Vijayanagar,12.324052,76.609266,3,2,vandalism,1,8.7137
Mysuru - Kuvempunagar,12.280913,76.615516,23,4,harassment,2,25.3607
Mysuru - Chamundipuram,12.277746,76.654156,3,3,vandalism,3,5.3559
Mysuru - Agrahara,12.290825,76.656061,21,1,traffic_accident,2,28.2599
Mysuru - Gokulam,12.328487,76.640988,23,3,theft,1,8.8385
Mysuru - Vijayanagar,12.321227,76.609701,16,4,vandalism,1,27.2341
Mysuru - Kuvempunagar,12.281313,76.616594,1,2,vandalism,1,13.9154
Mysuru - K.R. Mohalla,12.298213,76.637724,19,3,harassment,2,15.418
Mysuru - Srirampura,12.263557,76.612744,15,6,traffic_accident,3,9.5198
Mysuru - Saraswathipuram,12.306594,76.622801,0,0,harassment,1,3.3663
Mysuru - Chamundipuram,12.284086,76.659276,1,4,suspicious_activity,3,25.7878
Mysuru - Nazarbad,12.307123,76.6692,23,4,traffic_accident,1,5.1987
Mysuru - Krishnamurthypuram,12.295011,76.650196,16,6,vandalism,3,27.9003
Mysuru - JP Nagar,12.262419,76.627566,13,3,harassment,1,12.2367
Mysuru - Jayalakshmipuram,12.318531,76.623891,12,6,suspicious_activity,1,5.5055
Mysuru - Devaraja Mohalla,12.307818,76.654745,12,5,burglary,2,23.4208
Mysuru - Jayanagar,12.289846,76.636041,20,6,suspicious_activity,1,28.9146
Mysuru - Saraswathipuram,12.304616,76.62793,4,6,suspicious_activity,1,8.8101
Mysuru - Hebbal Industrial Area,12.342959,76.65477,19,4,suspicious_activity,2,9.8213
Mysuru - Krishnamurthypuram,12.293357,76.64699,6,1,burglary,1,1.4946
Mysuru - Chamundipuram,12.275357,76.660528,3,3,vandalism,2,17.5269
Mysuru - Chamundipuram,12.277531,76.653084,12,5,traffic_accident,1,17.0356
Mysuru - Kuvempunagar,12.287525,76.618033,12,5,theft,2,16.4
Mysuru - Ashokapuram,12.269179,76.642396,3,1,theft,1,25.689
