location_zone,latitude,longitude,hour,day_of_week,incident_type,severity
Mandya - VV Nagar,12.531512,76.916561,1,0,burglary,1
Mandya - VV Nagar,12.522396,76.886911,9,2,traffic_accident,2
Mandya - Subhash Nagar,12.534609,76.878638,12,5,theft,1
Mandya - Subhash Nagar,12.520466,76.91939,23,4,suspicious_activity,2
Mandya - Ashok Nagar,12.504703,76.889763,14,5,harassment,2
Mandya - Mandya City Centre,12.529274,76.898201,1,0,harassment,1
Mandya - Ashok Nagar,12.536536,76.876387,8,4,theft,1
Mandya - VV Nagar,12.53042,76.87253,20,3,vandalism,1
Mandya - PES College Area,12.505933,76.902007,9,0,burglary,1
Mandya - Subhash Nagar,12.535315,76.900858,2,0,vandalism,1
Mandya - Subhash Nagar,12.514257,76.894538,20,3,theft,1
Mandya - Mandya City Centre,12.522817,76.882911,7,5,theft,2
Mandya - VV Nagar,12.500858,76.907968,5,6,suspicious_activity,1
Mandya - PES College Area,12.518303,76.90203,3,0,burglary,2
Mandya - Mandya City Centre,12.513578,76.909413,11,2,burglary,2
Mandya - Subhash Nagar,12.524882,76.879101,22,6,vandalism,2
Mandya - VV Nagar,12.508431,76.919984,23,2,burglary,2
Mandya - Mandya City Centre,12.532853,76.870622,1,5,vandalism,3
Mandya - Subhash Nagar,12.523909,76.886106,3,6,vandalism,1
Mandya - VV Nagar,12.539913,76.873342,11,0,burglary,2
Mandya - PES College Area,12.515324,76.911583,9,5,vandalism,1
Mandya - Ashok Nagar,12.503973,76.912273,3,4,burglary,1
Mandya - PES College Area,12.53359,76.918538,11,1,theft,1
Mandya - Subhash Nagar,12.502993,76.91976,3,3,vandalism,2
Mandya - Ashok Nagar,12.50539,76.906091,4,3,vandalism,1
Mandya - Ashok Nagar,12.500577,76.871515,19,1,suspicious_activity,1
Mandya - Ashok Nagar,12.510881,76.884407,7,1,burglary,1
Mandya - PES College Area,12.53365,76.891682,2,5,theft,1
Mandya - Ashok Nagar,12.53436,76.878118,20,2,theft,3
Mandya - PES College Area,12.530236,76.898358,8,1,suspicious_activity,1
Mandya - Mandya City Centre,12.533771,76.898777,1,4,theft,2
Mandya - Mandya City Centre,12.507626,76.909126,12,5,burglary,1
Mandya - VV Nagar,12.502001,76.894202,8,2,traffic_accident,2
Mandya - Subhash Nagar,12.510026,76.883243,2,0,harassment,1
Mandya - Mandya City Centre,12.508511,76.897133,3,0,suspicious_activity,1
Mandya - VV Nagar,12.531175,76.919263,11,2,theft,3
Mandya - Ashok Nagar,12.518566,76.895981,1,0,suspicious_activity,1
Mandya - Subhash Nagar,12.509218,76.909931,18,5,traffic_accident,1
Mandya - PES College Area,12.518405,76.906904,1,5,vandalism,3
Mandya - Mandya City Centre,12.536673,76.917037,4,0,suspicious_activity,1
Mandya - PES College Area,12.53062,76.886365,14,6,suspicious_activity,2
Mandya - VV Nagar,12.505755,76.87295,11,1,vandalism,2
Mandya - Ashok Nagar,12.513144,76.88048,8,5,theft,2
Mandya - Mandya City Centre,12.525036,76.905023,18,3,suspicious_activity,1
