location_zone,latitude,longitude,hour,day_of_week,incident_type,severity
Mangaluru - Surathkal,12.89729,74.835717,18,3,theft,1
Mangaluru - Falnir,12.934631,74.852752,13,6,suspicious_activity,1
Mangaluru - Surathkal,12.906708,74.878126,22,5,burglary,2
Mangaluru - Kadri,12.941531,74.859677,12,5,harassment,1
Mangaluru - Bejai,12.941323,74.862303,4,4,burglary,3
Mangaluru - Surathkal,12.864554,74.841801,20,1,burglary,2
Mangaluru - Surathkal,12.936121,74.843642,8,0,theft,2
Mangaluru - Falnir,12.945301,74.879534,13,1,suspicious_activity,1
Mangaluru - Surathkal,12.936911,74.896834,11,4,traffic_accident,1
Mangaluru - Bejai,12.854562,74.854608,21,4,vandalism,2
Mangaluru - Hampankatta,12.859671,74.897278,5,4,vandalism,1
Mangaluru - Surathkal,12.94091,74.863214,0,3,theft,2
Mangaluru - Bejai,12.856094,74.857524,11,4,burglary,1
Mangaluru - Urwa,12.870736,74.847559,2,5,traffic_accident,1
Mangaluru - Hampankatta,12.860371,74.875435,21,6,vandalism,3
Mangaluru - Bejai,12.945544,74.854914,13,2,suspicious_activity,2
Mangaluru - Panambur,12.884121,74.837025,13,4,suspicious_activity,1
Mangaluru - Surathkal,12.899959,74.856958,12,3,theft,1
Mangaluru - Surathkal,12.902581,74.82021,0,3,harassment,2
Mangaluru - Hampankatta,12.935861,74.867882,14,2,suspicious_activity,1
Mangaluru - Urwa,12.899526,74.876552,16,6,burglary,2
Mangaluru - Urwa,12.898869,74.871564,6,1,traffic_accident,2
Mangaluru - Kadri,12.855217,74.873025,22,0,traffic_accident,1
Mangaluru - Falnir,12.948795,74.866633,3,0,vandalism,1
Mangaluru - Hampankatta,12.931291,74.828206,23,1,theft,1
Mangaluru - Urwa,12.901002,74.875009,2,0,suspicious_activity,2
Mangaluru - Bejai,12.880455,74.879851,6,1,theft,1
Mangaluru - Panambur,12.87823,74.892462,3,6,theft,3
Mangaluru - Kadri,12.942396,74.84199,13,4,theft,2
Mangaluru - Surathkal,12.938975,74.830143,14,5,theft,2
Mangaluru - Panambur,12.862708,74.890753,10,5,traffic_accident,1
Mangaluru - Falnir,12.855477,74.864854,11,0,theft,1
Mangaluru - Urwa,12.949467,74.879554,2,5,burglary,2
Mangaluru - Surathkal,12.943556,74.854726,15,2,burglary,1
Mangaluru - Hampankatta,12.877014,74.878234,16,1,burglary,1
Mangaluru - Hampankatta,12.939603,74.838611,13,1,suspicious_activity,2
Mangaluru - Falnir,12.946331,74.866151,8,2,theft,3
Mangaluru - Falnir,12.920605,74.859845,14,0,burglary,1
Mangaluru - Urwa,12.884364,74.843731,5,4,suspicious_activity,1
Mangaluru - Bejai,12.890137,74.847144,21,3,harassment,1
Mangaluru - Kadri,12.892947,74.877221,12,2,suspicious_activity,3
Mangaluru - Panambur,12.914568,74.829785,6,4,traffic_accident,1
Mangaluru - Bejai,12.850392,74.875872,19,1,harassment,2
Mangaluru - Falnir,12.91522,74.8448,14,5,theft,1
Mangaluru - Bejai,12.87959,74.881786,9,0,vandalism,1
Mangaluru - Falnir,12.919959,74.835641,17,0,suspicious_activity,2
Mangaluru - Falnir,12.891506,74.872143,17,6,burglary,3
Mangaluru - Falnir,12.885613,74.869119,3,0,harassment,1
Mangaluru - Kadri,12.943728,74.844428,21,6,burglary,2
Mangaluru - Bejai,12.923998,74.820069,12,2,traffic_accident,1
Mangaluru - Kadri,12.873764,74.881229,3,1,theft,1
Mangaluru - Urwa,12.87094,74.834042,13,5,vandalism,3
Mangaluru - Panambur,12.859763,74.87894,15,2,vandalism,1
Mangaluru - Falnir,12.890495,74.848611,18,2,traffic_accident,2
Mangaluru - Hampankatta,12.854755,74.830281,10,5,suspicious_activity,1
Mangaluru - Kadri,12.854327,74.88065,15,6,burglary,1
Mangaluru - Kadri,12.909125,74.8533,8,5,suspicious_activity,1
Mangaluru - Panambur,12.858542,74.822128,3,4,suspicious_activity,3
Mangaluru - Urwa,12.941804,74.871808,4,6,theft,1
Mangaluru - Kadri,12.859612,74.846645,17,6,vandalism,2
Mangaluru - Urwa,12.895005,74.882575,23,1,theft,2
Mangaluru - Bejai,12.948829,74.861635,23,1,suspicious_activity,3
Mangaluru - Urwa,12.936997,74.837925,0,5,harassment,2
Mangaluru - Falnir,12.876119,74.886145,18,1,burglary,1
Mangaluru - Kadri,12.934177,74.872818,17,5,suspicious_activity,2
Mangaluru - Surathkal,12.922624,74.824694,16,0,burglary,1
Mangaluru - Bejai,12.888695,74.851047,13,1,traffic_accident,3
Mangaluru - Urwa,12.94151,74.892253,7,5,vandalism,1
Mangaluru - Falnir,12.929463,74.856301,0,6,burglary,1
Mangaluru - Hampankatta,12.886543,74.844486,0,1,traffic_accident,1
Mangaluru - Falnir,12.891474,74.875783,18,6,traffic_accident,1
Mangaluru - Bejai,12.88502,74.874821,6,3,vandalism,2
Mangaluru - Urwa,12.86564,74.851829,19,3,vandalism,1
Mangaluru - Urwa,12.884579,74.855397,9,2,harassment,3
Mangaluru - Falnir,12.928978,74.88912,4,0,burglary,2
Mangaluru - Falnir,12.922293,74.863919,13,2,vandalism,1
Mangaluru - Bejai,12.863119,74.897649,20,6,theft,1
Mangaluru - Bejai,12.857267,74.825593,13,0,traffic_accident,2
Mangaluru - Bejai,12.881632,74.857562,9,3,traffic_accident,1
Mangaluru - Hampankatta,12.86271,74.829604,5,3,harassment,3
Mangaluru - Urwa,12.939686,74.841675,5,0,suspicious_activity,1
Mangaluru - Panambur,12.904541,74.870713,10,1,vandalism,1
Mangaluru - Panambur,12.942997,74.893202,5,4,theft,2
Mangaluru - Hampankatta,12.887004,74.861025,19,3,vandalism,2
Mangaluru - Panambur,12.852321,74.849213,11,3,harassment,3
Mangaluru - Falnir,12.891499,74.860606,11,2,suspicious_activity,2
Mangaluru - Hampankatta,12.855172,74.836193,19,0,harassment,1
Mangaluru - Panambur,12.885285,74.881033,16,1,harassment,2
Mangaluru - Falnir,12.895535,74.885395,2,1,theft,2
Mangaluru - Falnir,12.855036,74.859707,15,2,vandalism,1
Mangaluru - Falnir,12.922121,74.878049,2,2,harassment,2
Mangaluru - Urwa,12.927648,74.877541,6,3,traffic_accident,1
Mangaluru - Panambur,12.925384,74.862222,12,0,burglary,3
Mangaluru - Panambur,12.881408,74.892479,22,1,theft,1
Mangaluru - Bejai,12.881827,74.890136,3,2,vandalism,1
Mangaluru - Panambur,12.895462,74.877792,19,3,traffic_accident,2
Mangaluru - Kadri,12.92753,74.868255,12,0,suspicious_activity,1
Mangaluru - Kadri,12.935552,74.832973,1,2,suspicious_activity,2
Mangaluru - Surathkal,12.903234,74.863245,11,5,harassment,2
Mangaluru - Kadri,12.896527,74.876956,0,4,burglary,1
Mangaluru - Bejai,12.851671,74.877291,13,2,suspicious_activity,1
Mangaluru - Kadri,12.92647,74.820997,6,5,vandalism,2
Mangaluru - Kadri,12.943619,74.83339,13,4,theft,2
Mangaluru - Urwa,12.903059,74.888503,23,4,burglary,2
Mangaluru - Kadri,12.886694,74.83317,15,5,suspicious_activity,1
Mangaluru - Panambur,12.878227,74.843079,3,1,theft,2
Mangaluru - Hampankatta,12.911413,74.828783,17,3,traffic_accident,2
Mangaluru - Falnir,12.90258,74.832146,20,3,theft,2
Mangaluru - Falnir,12.866576,74.87054,1,1,burglary,2
Mangaluru - Surathkal,12.910634,74.868095,19,2,traffic_accident,1
Mangaluru - Kadri,12.941623,74.842617,13,0,theft,2
Mangaluru - Bejai,12.863648,74.878013,17,6,burglary,1
Mangaluru - Urwa,12.867433,74.831425,14,4,theft,1
Mangaluru - Urwa,12.916139,74.820645,7,2,traffic_accident,1
Mangaluru - Surathkal,12.945525,74.838671,20,0,traffic_accident,1
Mangaluru - Kadri,12.912463,74.892481,6,2,burglary,1
Mangaluru - Bejai,12.940406,74.822883,12,0,burglary,2
Mangaluru - Panambur,12.87438,74.876056,18,0,suspicious_activity,3
Mangaluru - Urwa,12.88802,74.876372,23,5,burglary,1
Mangaluru - Bejai,12.925046,74.839746,9,5,traffic_accident,2
Mangaluru - Falnir,12.896951,74.86836,18,1,burglary,1
Mangaluru - Hampankatta,12.943476,74.835052,15,2,traffic_accident,2
Mangaluru - Urwa,12.939704,74.858865,10,1,burglary,1
Mangaluru - Surathkal,12.869507,74.890652,22,4,vandalism,1
Mangaluru - Panambur,12.943511,74.851444,4,0,suspicious_activity,1
Mangaluru - Hampankatta,12.866041,74.839006,9,2,vandalism,3
Mangaluru - Bejai,12.890008,74.846782,6,4,vandalism,2
Mangaluru - Falnir,12.920351,74.854805,6,5,theft,2
Mangaluru - Urwa,12.861765,74.86968,8,1,suspicious_activity,2
Mangaluru - Hampankatta,12.935602,74.851406,14,3,traffic_accident,1
Mangaluru - Falnir,12.882483,74.867423,16,3,vandalism,2
Mangaluru - Panambur,12.855861,74.866814,17,2,suspicious_activity,3
Mangaluru - Urwa,12.909967,74.889354,19,0,burglary,1
Mangaluru - Kadri,12.937164,74.879011,2,2,traffic_accident,1
Mangaluru - Surathkal,12.947807,74.848721,5,3,harassment,3
Mangaluru - Hampankatta,12.882017,74.896962,19,3,theft,2
Mangaluru - Urwa,12.857521,74.877848,10,6,harassment,2
Mangaluru - Falnir,12.876568,74.835159,5,2,harassment,1
Mangaluru - Hampankatta,12.887791,74.872344,12,5,suspicious_activity,1
Mangaluru - Falnir,12.866237,74.873952,3,5,burglary,1
Mangaluru - Bejai,12.867604,74.82279,11,2,traffic_accident,1
Mangaluru - Hampankatta,12.935378,74.889504,12,4,vandalism,1
Mangaluru - Kadri,12.858865,74.835222,2,3,harassment,1
Mangaluru - Urwa,12.939107,74.850064,17,5,burglary,1
Mangaluru - Falnir,12.864975,74.868077,6,6,theft,3
Mangaluru - Hampankatta,12.888894,74.832361,4,2,vandalism,1
Mangaluru - Bejai,12.89817,74.842897,17,0,traffic_accident,3
Mangaluru - Surathkal,12.855675,74.867958,7,1,vandalism,1
Mangaluru - Panambur,12.900935,74.828416,0,3,vandalism,1
Mangaluru - Falnir,12.883081,74.857781,10,3,suspicious_activity,1
Mangaluru - Bejai,12.856862,74.87422,21,6,theft,2
Mangaluru - Hampankatta,12.895456,74.889944,0,0,suspicious_activity,3
Mangaluru - Bejai,12.877264,74.840874,0,4,suspicious_activity,1
Mangaluru - Panambur,12.903406,74.890924,21,5,suspicious_activity,2
Mangaluru - Urwa,12.850818,74.883624,5,6,vandalism,1
Mangaluru - Falnir,12.930306,74.827592,11,1,theft,1
Mangaluru - Kadri,12.899867,74.876801,19,0,theft,3
Mangaluru - Surathkal,12.86832,74.887741,14,6,theft,2
Mangaluru - Panambur,12.883813,74.846616,4,1,suspicious_activity,2
Mangaluru - Kadri,12.870673,74.861219,1,6,theft,2
Mangaluru - Panambur,12.935023,74.863414,12,6,vandalism,1
Mangaluru - Urwa,12.875422,74.833279,14,6,theft,1
Mangaluru - Bejai,12.915838,74.878842,17,3,traffic_accident,1
Mangaluru - Panambur,12.900532,74.840706,16,0,traffic_accident,2
Mangaluru - Hampankatta,12.886941,74.844448,16,3,vandalism,1
Mangaluru - Panambur,12.910274,74.880662,22,6,burglary,2
Mangaluru - Falnir,12.93422,74.846654,16,6,theft,2
Mangaluru - Bejai,12.872396,74.897619,5,3,harassment,1
Mangaluru - Panambur,12.8702,74.861349,2,6,burglary,3
Mangaluru - Panambur,12.872481,74.872084,14,0,suspicious_activity,2
Mangaluru - Urwa,12.87667,74.899176,6,2,suspicious_activity,2
Mangaluru - Kadri,12.872022,74.860253,16,0,theft,1
Mangaluru - Falnir,12.900328,74.898582,10,1,vandalism,3
Mangaluru - Hampankatta,12.915264,74.886598,21,4,traffic_accident,1
Mangaluru - Surathkal,12.88796,74.865087,3,5,harassment,2
Mangaluru - Falnir,12.942889,74.893598,16,5,traffic_accident,2
Mangaluru - Falnir,12.913738,74.840139,16,1,theft,1
Mangaluru - Hampankatta,12.90179,74.883059,23,2,vandalism,3
Mangaluru - Hampankatta,12.923259,74.840963,10,6,theft,3
Mangaluru - Urwa,12.880015,74.832649,19,0,harassment,2
Mangaluru - Bejai,12.943697,74.876055,4,5,theft,2
Mangaluru - Panambur,12.850333,74.887935,10,0,burglary,1
Mangaluru - Urwa,12.872939,74.861036,14,3,vandalism,1
Mangaluru - Kadri,12.934457,74.834519,23,3,traffic_accident,1
Mangaluru - Falnir,12.858132,74.865124,1,1,harassment,2
Mangaluru - Hampankatta,12.86089,74.895813,22,2,burglary,1
Mangaluru - Kadri,12.878803,74.856334,10,5,theft,2
Mangaluru - Panambur,12.945606,74.842762,19,1,vandalism,2
Mangaluru - Surathkal,12.938981,74.898675,1,5,theft,1
Mangaluru - Urwa,12.878872,74.844259,15,5,traffic_accident,1
Mangaluru - Falnir,12.906547,74.858547,13,5,burglary,3
Mangaluru - Bejai,12.901259,74.847393,20,4,harassment,3
Mangaluru - Falnir,12.913458,74.823723,8,6,traffic_accident,2
Mangaluru - Falnir,12.911191,74.885077,1,3,theft,3
Mangaluru - Kadri,12.925659,74.822828,15,3,vandalism,2
