location_zone,latitude,longitude,hour,day_of_week,incident_type,severity
Manipal - Tiger Circle,13.354684,74.795286,22,4,harassment,1
Manipal - End Point,13.347874,74.789372,17,2,traffic_accident,2
Manipal - KC Circle,13.354511,74.793496,18,4,burglary,2
Manipal - KC Circle,13.35046,74.779818,1,3,harassment,3
Manipal - End Point,13.356695,74.790874,13,5,suspicious_activity,1
Manipal - KC Circle,13.356669,74.783444,15,2,vandalism,2
Manipal - Tiger Circle,13.345968,74.785125,11,3,vandalism,1
Manipal - KC Circle,13.360675,74.797395,1,5,burglary,1
Manipal - Tiger Circle,13.36492,74.793921,16,1,traffic_accident,1
Manipal - Vidyaratna Nagar,13.356916,74.778498,16,5,harassment,1
Manipal - MIT Campus Area,13.363842,74.782297,11,4,suspicious_activity,1
Manipal - Tiger Circle,13.348668,74.787726,11,0,harassment,2
Manipal - MIT Campus Area,13.346866,74.775415,3,1,traffic_accident,3
Manipal - End Point,13.359804,74.786915,3,1,traffic_accident,1
Manipal - KC Circle,13.353484,74.779449,10,0,harassment,1
Manipal - Tiger Circle,13.360031,74.784954,1,6,burglary,1
Manipal - End Point,13.347116,74.787121,9,1,theft,2
Manipal - Vidyaratna Nagar,13.346319,74.789487,10,1,harassment,2
Manipal - MIT Campus Area,13.348373,74.791842,5,6,harassment,1
Manipal - MIT Campus Area,13.355842,74.789469,19,0,harassment,1
Manipal - Tiger Circle,13.358675,74.779603,8,3,theft,1
Manipal - Tiger Circle,13.358886,74.797829,19,4,vandalism,2
Manipal - Vidyaratna Nagar,13.345358,74.787934,20,5,burglary,1
Manipal - Tiger Circle,13.35918,74.775225,4,0,traffic_accident,1
Manipal - MIT Campus Area,13.349115,74.788299,12,1,theft,1
Manipal - End Point,13.361082,74.796078,1,1,traffic_accident,1
Manipal - Tiger Circle,13.349908,74.775465,20,6,traffic_accident,1
Manipal - End Point,13.353967,74.780035,4,4,harassment,1
Manipal - MIT Campus Area,13.357857,74.781326,1,1,traffic_accident,2
Manipal - MIT Campus Area,13.358979,74.786439,8,1,suspicious_activity,3
Manipal - Tiger Circle,13.345923,74.779023,6,5,vandalism,3
Manipal - MIT Campus Area,13.347247,74.794756,0,1,burglary,1
Manipal - Tiger Circle,13.364995,74.780515,23,6,vandalism,2
Manipal - Vidyaratna Nagar,13.362553,74.789885,4,4,burglary,3
Manipal - Vidyaratna Nagar,13.351947,74.795839,4,6,traffic_accident,3
Manipal - KC Circle,13.362348,74.782286,23,3,burglary,1
Manipal - KC Circle,13.361703,74.787155,16,1,burglary,1
Manipal - Vidyaratna Nagar,13.347926,74.794751,16,1,burglary,2
Manipal - Vidyaratna Nagar,13.356566,74.795986,13,6,harassment,2
Manipal - Tiger Circle,13.357175,74.77913,11,5,harassment,1
Manipal - Vidyaratna Nagar,13.359491,74.778781,1,6,theft,3
Manipal - KC Circle,13.35814,74.790355,7,5,theft,2
Manipal - Tiger Circle,13.347386,74.781595,11,1,burglary,1
Manipal - KC Circle,13.36413,74.785017,17,4,harassment,3
Manipal - Tiger Circle,13.360576,74.792668,22,5,vandalism,2
Manipal - Tiger Circle,13.348104,74.792227,14,3,traffic_accident,1
Manipal - End Point,13.353779,74.781916,17,6,suspicious_activity,3
Manipal - End Point,13.34768,74.780848,7,2,harassment,1
Manipal - Vidyaratna Nagar,13.345869,74.790173,21,5,harassment,3
Manipal - Tiger Circle,13.361922,74.776122,12,0,vandalism,2
Manipal - End Point,13.359547,74.790897,4,0,vandalism,3
Manipal - KC Circle,13.356682,74.787505,22,0,vandalism,1
Manipal - MIT Campus Area,13.34566,74.790106,12,4,suspicious_activity,2
Manipal - Tiger Circle,13.34607,74.797348,1,6,burglary,1
Manipal - MIT Campus Area,13.362504,74.783178,7,4,traffic_accident,1
Manipal - MIT Campus Area,13.349372,74.784485,19,4,suspicious_activity,1
Manipal - MIT Campus Area,13.345807,74.791295,4,2,vandalism,1
Manipal - Vidyaratna Nagar,13.356131,74.780653,11,0,vandalism,2
Manipal - KC Circle,13.361963,74.775839,20,0,vandalism,3
Manipal - Tiger Circle,13.363979,74.789369,19,4,burglary,2
Manipal - End Point,13.357812,74.781411,8,4,suspicious_activity,3
Manipal - MIT Campus Area,13.36062,74.787195,23,5,traffic_accident,1
Manipal - Tiger Circle,13.351653,74.778568,20,4,burglary,1
Manipal - Vidyaratna Nagar,13.355625,74.782461,18,3,traffic_accident,1
Manipal - KC Circle,13.349747,74.775894,0,2,harassment,1
Manipal - Tiger Circle,13.35428,74.793529,3,4,theft,1
Manipal - KC Circle,13.361822,74.786724,7,1,harassment,2
Manipal - Tiger Circle,13.356881,74.788715,22,5,suspicious_activity,1
Manipal - Tiger Circle,13.360671,74.792676,21,1,traffic_accident,1
Manipal - Vidyaratna Nagar,13.351967,74.783973,23,3,suspicious_activity,2
Manipal - Tiger Circle,13.361965,74.79328,15,0,traffic_accident,2
Manipal - KC Circle,13.359856,74.794833,15,0,harassment,1
Manipal - KC Circle,13.346819,74.776114,21,2,burglary,1
Manipal - Tiger Circle,13.347137,74.776547,16,3,suspicious_activity,1
Manipal - MIT Campus Area,13.349673,74.785146,3,0,suspicious_activity,2
Manipal - Vidyaratna Nagar,13.361007,74.775056,21,1,vandalism,2
Manipal - Vidyaratna Nagar,13.363263,74.793593,4,6,vandalism,1
Manipal - Tiger Circle,13.34852,74.79253,13,2,suspicious_activity,1
Manipal - Vidyaratna Nagar,13.355345,74.796582,1,6,vandalism,1
Manipal - End Point,13.36257,74.789689,13,1,traffic_accident,1
Manipal - Vidyaratna Nagar,13.346501,74.797254,13,5,vandalism,1
