location_zone,latitude,longitude,hour,day_of_week,incident_type,severity
Mysuru - Agrahara,12.322409,76.620706,9,4,suspicious_activity,1
Mysuru - Agrahara,12.250495,76.66883,0,2,vandalism,3
Mysuru - Srirampura,12.31125,76.652167,13,0,harassment,1
Mysuru - Gokulam,12.275273,76.650648,19,5,vandalism,1
Mysuru - JP Nagar,12.269376,76.590447,23,6,burglary,1
Mysuru - Devaraja Mohalla,12.349279,76.625032,20,0,suspicious_activity,1
Mysuru - Jayanagar,12.295976,76.668733,14,1,harassment,2
Mysuru - Jayalakshmipuram,12.260552,76.64903,1,5,burglary,1
Mysuru - Devaraja Mohalla,12.307273,76.593168,7,0,harassment,2
Mysuru - Chamundipuram,12.270165,76.609307,20,4,theft,2
Mysuru - Jayalakshmipuram,12.295699,76.618287,22,2,traffic_accident,1
Mysuru - Saraswathipuram,12.301281,76.611083,3,5,suspicious_activity,2
Mysuru - Srirampura,12.291728,76.668758,5,6,vandalism,3
Mysuru - JP Nagar,12.257774,76.663675,0,1,theft,1
Mysuru - Jayalakshmipuram,12.267621,76.605801,1,4,traffic_accident,1
Mysuru - K.R. Mohalla,12.277575,76.653994,12,4,harassment,3
Mysuru - Hebbal Industrial Area,12.27841,76.596028,7,4,suspicious_activity,2
Mysuru - Nazarbad,12.274313,76.617672,21,5,vandalism,2
Mysuru - Gokulam,12.322086,76.609894,22,2,vandalism,2
Mysuru - Ashokapuram,12.321884,76.645823,5,5,burglary,1
Mysuru - JP Nagar,12.346343,76.648841,5,4,theft,1
Mysuru - Agrahara,12.312047,76.603902,7,6,traffic_accident,2
Mysuru - Devaraja Mohalla,12.289594,76.62676,6,3,vandalism,1
Mysuru - Vijayanagar,12.294193,76.639239,13,0,harassment,1
Mysuru - Saraswathipuram,12.349862,76.608095,19,6,burglary,3
Mysuru - Agrahara,12.34545,76.597632,3,3,vandalism,3
Mysuru - Vijayanagar,12.298908,76.675435,6,1,suspicious_activity,1
Mysuru - Hebbal Industrial Area,12.252593,76.644345,19,1,traffic_accident,3
Mysuru - Jayanagar,12.278344,76.649533,1,2,traffic_accident,2
Mysuru - Hebbal Industrial Area,12.266399,76.660649,7,6,traffic_accident,1
Mysuru - Nazarbad,12.287233,76.655641,7,4,traffic_accident,2
Mysuru - JP Nagar,12.344429,76.652102,8,3,suspicious_activity,3
Mysuru - Ashokapuram,12.335917,76.663705,1,3,burglary,2
Mysuru - Gokulam,12.292594,76.630615,5,3,harassment,3
Mysuru - Srirampura,12.343972,76.641723,1,6,theft,1
Mysuru - Devaraja Mohalla,12.337846,76.585437,18,3,harassment,3
Mysuru - Saraswathipuram,12.3165,76.61176,16,0,suspicious_activity,3
Mysuru - Chamundipuram,12.345322,76.659567,16,4,burglary,2
Mysuru - Krishnamurthypuram,12.253337,76.584205,12,3,burglary,2
Mysuru - Jayalakshmipuram,12.250333,76.668304,0,0,theft,1
Mysuru - Saraswathipuram,12.27112,76.621628,11,3,harassment,3
Mysuru - Krishnamurthypuram,12.295788,76.634706,22,5,vandalism,1
Mysuru - Nazarbad,12.259716,76.631811,14,4,suspicious_activity,2
Mysuru - Hebbal Industrial Area,12.344105,76.670128,8,6,vandalism,1
Mysuru - Saraswathipuram,12.282227,76.641049,10,3,theft,3
Mysuru - Hebbal Industrial Area,12.263806,76.659688,3,5,harassment,2
Mysuru - Srirampura,12.256633,76.5972,15,1,theft,3
Mysuru - Hebbal Industrial Area,12.252264,76.633697,23,1,theft,1
Mysuru - K.R. Mohalla,12.306448,76.678059,9,3,theft,2
Mysuru - Agrahara,12.313998,76.599574,9,0,vandalism,2
Mysuru - Srirampura,12.31378,76.588896,16,2,burglary,2
Mysuru - Devaraja Mohalla,12.267686,76.597108,20,2,vandalism,2
Mysuru - Agrahara,12.313887,76.648966,12,1,burglary,2
Mysuru - Jayanagar,12.331726,76.604371,8,0,suspicious_activity,3
Mysuru - JP Nagar,12.338594,76.582656,2,1,suspicious_activity,1
Mysuru - Vijayanagar,12.299327,76.645299,11,2,harassment,1
Mysuru - Jayanagar,12.292359,76.614105,7,5,harassment,2
Mysuru - Chamundipuram,12.304169,76.617551,16,1,burglary,2
Mysuru - Hebbal Industrial Area,12.296688,76.593962,22,1,traffic_accident,1
