location_zone,latitude,longitude,hour,day_of_week,incident_type,severity
Raichur - Nijalingappa Nagar,16.215466,77.355387,0,2,vandalism,2
Raichur - Mantralayam Road,16.222225,77.364997,17,5,theft,2
Raichur - Mantralayam Road,16.190684,77.349408,22,3,traffic_accident,1
Raichur - Nijalingappa Nagar,16.194766,77.343323,23,1,traffic_accident,2
Raichur - Arab Mohalla,16.200803,77.377908,9,4,traffic_accident,2
Raichur - Mantralayam Road,16.202363,77.33531,16,1,theft,2
Raichur - Nijalingappa Nagar,16.213,77.376715,16,0,harassment,2
Raichur - Arab Mohalla,16.18324,77.335602,15,1,theft,2
Raichur - Station Road,16.181883,77.348883,2,3,vandalism,2
Raichur - Station Road,16.215972,77.350656,16,1,vandalism,1
Raichur - Mantralayam Road,16.194627,77.33378,19,0,burglary,1
Raichur - Fort Area,16.192768,77.359497,2,4,burglary,1
Raichur - Arab Mohalla,16.198531,77.350248,0,4,harassment,1
Raichur - Arab Mohalla,16.21952,77.373123,10,1,theft,1
Raichur - Fort Area,16.211181,77.366059,17,4,harassment,1
Raichur - Fort Area,16.188286,77.347968,14,3,harassment,1
Raichur - Station Road,16.194165,77.353114,23,2,traffic_accident,1
Raichur - Arab Mohalla,16.225092,77.367803,9,5,suspicious_activity,3
Raichur - Fort Area,16.192871,77.374511,5,3,suspicious_activity,1
Raichur - Fort Area,16.184683,77.374648,12,3,suspicious_activity,1
Raichur - Fort Area,16.211883,77.356303,1,4,traffic_accident,2
Raichur - Nijalingappa Nagar,16.187408,77.340706,8,3,burglary,1
Raichur - Arab Mohalla,16.185382,77.367727,10,1,traffic_accident,2
Raichur - Arab Mohalla,16.22847,77.368556,20,0,vandalism,3
Raichur - Arab Mohalla,16.216145,77.372712,23,5,traffic_accident,2
Raichur - Mantralayam Road,16.197133,77.377945,2,6,suspicious_activity,1
Raichur - Nijalingappa Nagar,16.203035,77.365731,20,6,vandalism,2
Raichur - Nijalingappa Nagar,16.192543,77.33783,13,2,theft,1
Raichur - Nijalingappa Nagar,16.203894,77.371842,20,5,suspicious_activity,2
Raichur - Fort Area,16.201909,77.377765,11,5,burglary,1
Raichur - Nijalingappa Nagar,16.189105,77.36622,21,3,suspicious_activity,2
Raichur - Mantralayam Road,16.211413,77.336376,10,2,vandalism,1
Raichur - Mantralayam Road,16.188423,77.357101,17,0,harassment,1
Raichur - Nijalingappa Nagar,16.228031,77.36482,12,0,burglary,1
Raichur - Station Road,16.225785,77.352834,3,3,suspicious_activity,3
Raichur - Mantralayam Road,16.196414,77.355557,18,3,traffic_accident,1
Raichur - Nijalingappa Nagar,16.201847,77.363651,7,2,harassment,3
Raichur - Mantralayam Road,16.220768,77.372402,0,5,vandalism,2
Raichur - Mantralayam Road,16.204259,77.376618,13,0,traffic_accident,2
Raichur - Fort Area,16.222103,77.336001,2,4,theft,2
Raichur - Mantralayam Road,16.185423,77.361387,15,4,harassment,2
Raichur - Mantralayam Road,16.227535,77.357171,3,3,theft,3
Raichur - Nijalingappa Nagar,16.211725,77.344547,20,5,burglary,1
Raichur - Nijalingappa Nagar,16.191616,77.354619,3,6,traffic_accident,1
Raichur - Arab Mohalla,16.196194,77.361605,23,1,suspicious_activity,1
Raichur - Fort Area,16.18321,77.35813,0,0,harassment,2
Raichur - Mantralayam Road,16.191909,77.354303,23,2,suspicious_activity,3
Raichur - Arab Mohalla,16.180527,77.335903,12,6,suspicious_activity,1
Raichur - Arab Mohalla,16.223866,77.361352,23,0,burglary,1
Raichur - Station Road,16.204348,77.358977,14,2,suspicious_activity,1
Raichur - Nijalingappa Nagar,16.18674,77.374783,14,3,harassment,3
Raichur - Fort Area,16.223844,77.352947,23,6,burglary,3
Raichur - Mantralayam Road,16.217084,77.338475,1,5,suspicious_activity,1
Raichur - Arab Mohalla,16.217099,77.342611,20,4,theft,2
Raichur - Station Road,16.228449,77.356814,20,5,traffic_accident,3
Raichur - Arab Mohalla,16.200092,77.363195,5,2,burglary,3
Raichur - Fort Area,16.220862,77.343763,19,0,burglary,3
Raichur - Nijalingappa Nagar,16.227045,77.335926,4,5,harassment,2
Raichur - Arab Mohalla,16.183208,77.375861,15,0,traffic_accident,1
Raichur - Nijalingappa Nagar,16.212353,77.378528,16,4,traffic_accident,1
Raichur - Station Road,16.191669,77.361576,13,0,traffic_accident,3
Raichur - Arab Mohalla,16.213394,77.361956,4,4,theft,1
Raichur - Mantralayam Road,16.193973,77.371926,12,2,traffic_accident,1
Raichur - Fort Area,16.193172,77.377858,19,1,burglary,1
Raichur - Arab Mohalla,16.224455,77.343536,5,6,harassment,2
Raichur - Arab Mohalla,16.21119,77.346355,0,6,harassment,1
Raichur - Mantralayam Road,16.206013,77.354218,3,3,suspicious_activity,2
Raichur - Fort Area,16.183817,77.353924,0,2,traffic_accident,3
Raichur - Nijalingappa Nagar,16.194654,77.348814,19,3,burglary,2
Raichur - Mantralayam Road,16.201886,77.349075,1,0,traffic_accident,1
Raichur - Fort Area,16.210031,77.373383,4,2,theft,2
Raichur - Station Road,16.18331,77.372709,8,1,theft,1
Raichur - Fort Area,16.229185,77.374934,14,3,vandalism,2
Raichur - Arab Mohalla,16.219218,77.375491,9,2,suspicious_activity,1
Raichur - Station Road,16.200958,77.354745,21,2,vandalism,3
Raichur - Nijalingappa Nagar,16.188496,77.331918,23,6,suspicious_activity,1
Raichur - Station Road,16.191356,77.340844,22,0,suspicious_activity,1
Raichur - Station Road,16.220289,77.349126,5,0,vandalism,2
Raichur - Nijalingappa Nagar,16.191795,77.373362,9,2,burglary,1
Raichur - Station Road,16.197408,77.358696,8,0,vandalism,1
Raichur - Station Road,16.229628,77.377036,21,3,vandalism,1
Raichur - Arab Mohalla,16.207739,77.363608,10,6,harassment,2
Raichur - Mantralayam Road,16.205364,77.334189,7,5,traffic_accident,1
Raichur - Fort Area,16.215902,77.336191,11,3,harassment,1
Raichur - Station Road,16.188746,77.338342,2,1,vandalism,2
Raichur - Arab Mohalla,16.187278,77.355877,6,0,traffic_accident,1
Raichur - Nijalingappa Nagar,16.198803,77.36637,5,0,traffic_accident,2
Raichur - Arab Mohalla,16.201239,77.36795,21,6,suspicious_activity,2
Raichur - Fort Area,16.214008,77.33412,4,5,vandalism,1
Raichur - Nijalingappa Nagar,16.218088,77.377642,15,6,vandalism,1
Raichur - Arab Mohalla,16.195576,77.351942,2,0,traffic_accident,3
Raichur - Fort Area,16.200884,77.346823,12,6,theft,2
Raichur - Fort Area,16.18197,77.36026,13,2,suspicious_activity,1
Raichur - Mantralayam Road,16.213329,77.353198,8,5,vandalism,2
Raichur - Station Road,16.209687,77.333375,10,2,vandalism,1
Raichur - Nijalingappa Nagar,16.206628,77.374718,10,4,burglary,2
Raichur - Fort Area,16.186851,77.356163,5,0,suspicious_activity,1
Raichur - Arab Mohalla,16.216741,77.357757,7,0,burglary,1
Raichur - Mantralayam Road,16.187649,77.336029,11,3,vandalism,1
Raichur - Mantralayam Road,16.225261,77.350811,13,6,harassment,1
Raichur - Arab Mohalla,16.209989,77.344626,9,5,vandalism,1
Raichur - Station Road,16.201591,77.367425,12,5,suspicious_activity,1
Raichur - Fort Area,16.182093,77.366773,11,6,traffic_accident,1
Raichur - Fort Area,16.205845,77.379712,5,5,burglary,2
Raichur - Nijalingappa Nagar,16.220004,77.335229,17,6,burglary,1
Raichur - Station Road,16.188334,77.372721,21,6,traffic_accident,1
Raichur - Mantralayam Road,16.211918,77.354352,14,3,burglary,1
Raichur - Nijalingappa Nagar,16.229003,77.351038,21,1,vandalism,2
Raichur - Station Road,16.223779,77.338359,2,5,burglary,1
Raichur - Fort Area,16.185014,77.34773,2,1,vandalism,1
Raichur - Nijalingappa Nagar,16.186006,77.338794,8,5,suspicious_activity,3
Raichur - Fort Area,16.19651,77.357202,19,0,traffic_accident,1
Raichur - Arab Mohalla,16.19648,77.378694,7,3,theft,3
Raichur - Arab Mohalla,16.180229,77.378336,4,5,harassment,2
Raichur - Fort Area,16.197087,77.363432,5,4,vandalism,3
Raichur - Arab Mohalla,16.221834,77.370646,23,5,vandalism,2
Raichur - Arab Mohalla,16.19279,77.346549,4,3,theft,2
Raichur - Mantralayam Road,16.198336,77.332322,2,3,burglary,1
Raichur - Fort Area,16.185328,77.351165,6,5,traffic_accident,1
Raichur - Nijalingappa Nagar,16.197439,77.342823,13,6,traffic_accident,2
Raichur - Arab Mohalla,16.203323,77.365099,9,1,traffic_accident,2
Raichur - Fort Area,16.214773,77.358485,23,2,burglary,1
Raichur - Mantralayam Road,16.216535,77.336611,10,3,burglary,3
Raichur - Arab Mohalla,16.214101,77.333201,4,1,harassment,3
Raichur - Mantralayam Road,16.228675,77.346719,20,0,suspicious_activity,3
Raichur - Arab Mohalla,16.21999,77.343815,2,0,suspicious_activity,1
Raichur - Station Road,16.21429,77.373693,1,5,traffic_accident,1
Raichur - Station Road,16.207625,77.361502,2,3,harassment,1
Raichur - Station Road,16.211809,77.373408,10,5,vandalism,1
Raichur - Station Road,16.185414,77.345886,22,1,theft,1
Raichur - Mantralayam Road,16.189149,77.368512,5,4,vandalism,1
Raichur - Station Road,16.211928,77.356448,16,5,traffic_accident,1
Raichur - Mantralayam Road,16.210967,77.354553,10,4,vandalism,3
Raichur - Station Road,16.180981,77.350709,17,3,suspicious_activity,1
Raichur - Arab Mohalla,16.191009,77.35392,13,0,harassment,1
Raichur - Fort Area,16.220108,77.359416,19,2,harassment,2
Raichur - Station Road,16.210827,77.337429,10,1,burglary,3
Raichur - Fort Area,16.189108,77.36982,19,0,burglary,2
Raichur - Station Road,16.18826,77.361941,2,1,traffic_accident,1
Raichur - Arab Mohalla,16.201003,77.369602,21,2,theft,2
Raichur - Fort Area,16.212173,77.363323,20,2,vandalism,1
Raichur - Nijalingappa Nagar,16.187373,77.34153,23,2,burglary,2
Raichur - Fort Area,16.212654,77.361896,0,6,harassment,1
Raichur - Station Road,16.211179,77.377796,9,1,suspicious_activity,2
Raichur - Station Road,16.22337,77.352087,7,3,traffic_accident,2
Raichur - Arab Mohalla,16.201879,77.360466,15,3,harassment,1
Raichur - Arab Mohalla,16.184076,77.337392,4,4,vandalism,1
Raichur - Station Road,16.213413,77.340339,1,3,burglary,2
Raichur - Fort Area,16.180362,77.375755,8,6,suspicious_activity,1
Raichur - Fort Area,16.225107,77.337065,4,1,suspicious_activity,1
Raichur - Station Road,16.2215,77.376299,18,0,suspicious_activity,1
Raichur - Arab Mohalla,16.219266,77.374292,6,5,traffic_accident,1
Raichur - Fort Area,16.189913,77.334923,22,4,suspicious_activity,3
Raichur - Arab Mohalla,16.186181,77.331716,3,6,vandalism,1
Raichur - Fort Area,16.180226,77.360767,21,6,traffic_accident,3
Raichur - Arab Mohalla,16.223441,77.369484,23,6,traffic_accident,1
Raichur - Fort Area,16.211094,77.377921,0,2,theft,1
Raichur - Nijalingappa Nagar,16.203696,77.346661,3,1,suspicious_activity,2
Raichur - Mantralayam Road,16.200165,77.347105,11,3,traffic_accident,1
Raichur - Nijalingappa Nagar,16.22549,77.356222,13,4,traffic_accident,3
Raichur - Fort Area,16.220742,77.347984,22,2,vandalism,3
