location_zone,latitude,longitude,hour,day_of_week,incident_type,severity
Shivmogga - Gopala,13.907677,75.558312,10,5,harassment,3
Shivmogga - Savalanga Road,13.918444,75.566696,2,4,suspicious_activity,1
Shivmogga - BH Road,13.950969,75.530867,9,3,theft,2
Shivmogga - Gopala,13.912543,75.548934,14,2,theft,1
Shivmogga - Tilak Nagar,13.927736,75.545042,11,1,traffic_accident,2
Shivmogga - BH Road,13.914757,75.58316,6,6,burglary,2
Shivmogga - BH Road,13.949183,75.588431,7,1,suspicious_activity,1
Shivmogga - Gopala,13.908093,75.557189,8,3,suspicious_activity,1
Shivmogga - Savalanga Road,13.932489,75.568168,13,6,traffic_accident,2
Shivmogga - Savalanga Road,13.903661,75.530097,10,2,burglary,2
Shivmogga - Tilak Nagar,13.914232,75.539028,14,2,vandalism,2
Shivmogga - Vinoba Nagar,13.940165,75.566054,23,0,vandalism,1
Shivmogga - Tilak Nagar,13.94799,75.532712,7,5,harassment,1
Shivmogga - Vinoba Nagar,13.924256,75.586808,15,5,traffic_accident,1
Shivmogga - Savalanga Road,13.940907,75.577425,13,0,harassment,1
Shivmogga - Tilak Nagar,13.939174,75.597088,12,6,vandalism,1
Shivmogga - Savalanga Road,13.905103,75.559652,4,1,harassment,2
Shivmogga - Gopala,13.912574,75.588601,7,4,theft,1
Shivmogga - Gopala,13.943788,75.561861,0,2,suspicious_activity,1
Shivmogga - Gopala,13.93066,75.575531,20,1,burglary,3
Shivmogga - Tilak Nagar,13.909678,75.568435,18,3,harassment,1
Shivmogga - Tilak Nagar,13.906739,75.542088,18,6,suspicious_activity,1
Shivmogga - Gopala,13.943098,75.593902,20,1,burglary,1
Shivmogga - Savalanga Road,13.923628,75.543792,10,4,suspicious_activity,1
Shivmogga - Gopala,13.919221,75.530562,20,0,burglary,1
Shivmogga - BH Road,13.92395,75.55977,21,2,suspicious_activity,1
Shivmogga - Tilak Nagar,13.915871,75.54315,4,3,theft,2
Shivmogga - Savalanga Road,13.916785,75.558108,23,3,suspicious_activity,1
Shivmogga - Savalanga Road,13.921498,75.598539,13,5,harassment,2
Shivmogga - Vinoba Nagar,13.917554,75.557678,8,6,vandalism,1
Shivmogga - Tilak Nagar,13.944965,75.599585,5,6,theft,1
Shivmogga - BH Road,13.91164,75.599076,10,5,theft,2
