location_zone,latitude,longitude,hour,day_of_week,incident_type,severity
Udupi - MGM College Area,13.35388,74.74842,1,5,theft,1
Udupi - Kalsanka,13.323621,74.724145,8,2,vandalism,1
Udupi - MGM College Area,13.348393,74.745397,17,0,traffic_accident,1
Udupi - MGM College Area,13.325733,74.740812,2,6,suspicious_activity,2
Udupi - Diana Circle,13.320976,74.739285,18,4,traffic_accident,1
Udupi - Malpe Beach Area,13.353116,74.741407,16,1,suspicious_activity,2
Udupi - Diana Circle,13.351982,74.732396,9,0,suspicious_activity,1
Udupi - Santhekatte,13.329952,74.746316,5,6,traffic_accident,1
Udupi - Malpe Beach Area,13.330535,74.734334,20,5,burglary,1
Udupi - MGM College Area,13.320979,74.750717,11,3,harassment,3
Udupi - Santhekatte,13.340645,74.743509,7,1,vandalism,2
Udupi - Malpe Beach Area,13.320087,74.72192,22,2,theft,1
Udupi - Kalsanka,13.325983,74.750187,2,6,burglary,1
Udupi - Santhekatte,13.345588,74.743657,3,0,harassment,2
Udupi - Santhekatte,13.356239,74.75501,10,0,traffic_accident,2
Udupi - Santhekatte,13.353936,74.758766,3,2,traffic_accident,1
Udupi - Santhekatte,13.351088,74.720151,8,2,theft,2
Udupi - Santhekatte,13.344828,74.723008,15,6,traffic_accident,2
Udupi - Kalsanka,13.349691,74.728944,2,5,suspicious_activity,1
Udupi - Kalsanka,13.328044,74.725139,7,5,theft,1
Udupi - Malpe Beach Area,13.359187,74.751211,21,3,theft,1
Udupi - Santhekatte,13.34658,74.759025,14,4,vandalism,3
Udupi - Diana Circle,13.330712,74.757789,21,0,burglary,3
Udupi - MGM College Area,13.354804,74.725921,19,6,vandalism,2
Udupi - Diana Circle,13.336311,74.747881,2,0,burglary,1
Udupi - Malpe Beach Area,13.324265,74.723376,23,4,traffic_accident,3
Udupi - MGM College Area,13.345979,74.749996,2,5,burglary,1
Udupi - Santhekatte,13.351992,74.731666,6,2,burglary,1
Udupi - MGM College Area,13.348118,74.723265,18,2,suspicious_activity,3
Udupi - Kalsanka,13.340282,74.725895,18,1,vandalism,2
Udupi - Santhekatte,13.327861,74.748189,20,4,burglary,1
Udupi - Santhekatte,13.32466,74.739482,19,0,vandalism,1
Udupi - Santhekatte,13.355835,74.75562,11,2,theft,1
Udupi - Diana Circle,13.344131,74.731245,10,4,harassment,2
Udupi - Santhekatte,13.327477,74.727749,20,6,vandalism,1
Udupi - MGM College Area,13.326991,74.751167,15,6,theft,1
Udupi - Diana Circle,13.336874,74.750475,14,2,harassment,1
Udupi - Malpe Beach Area,13.349324,74.733364,0,5,suspicious_activity,2
Udupi - Santhekatte,13.352197,74.751572,11,3,vandalism,2
Udupi - Malpe Beach Area,13.339912,74.743861,14,6,traffic_accident,1
Udupi - Santhekatte,13.32166,74.724013,10,5,theft,1
Udupi - MGM College Area,13.324398,74.73267,7,5,traffic_accident,2
Udupi - Santhekatte,13.323521,74.758487,2,5,suspicious_activity,3
Udupi - Kalsanka,13.354169,74.720895,13,2,vandalism,1
Udupi - Diana Circle,13.343906,74.753528,15,4,suspicious_activity,1
Udupi - Malpe Beach Area,13.352873,74.721373,15,3,theft,1
Udupi - Diana Circle,13.354339,74.73806,5,1,traffic_accident,2
Udupi - Santhekatte,13.357854,74.747657,23,3,suspicious_activity,2
Udupi - Diana Circle,13.352222,74.72766,16,3,suspicious_activity,2
Udupi - Santhekatte,13.329918,74.731446,5,0,harassment,2
Udupi - MGM College Area,13.341284,74.728453,1,1,traffic_accident,1
Udupi - MGM College Area,13.357633,74.747,21,0,theft,1
Udupi - Diana Circle,13.329153,74.740305,8,5,theft,2
Udupi - Kalsanka,13.321579,74.751986,9,2,suspicious_activity,1
Udupi - Diana Circle,13.324191,74.732962,2,3,traffic_accident,3
Udupi - MGM College Area,13.350785,74.733605,15,3,theft,2
Udupi - Diana Circle,13.344268,74.723751,8,4,traffic_accident,3
Udupi - Kalsanka,13.346439,74.727968,19,6,burglary,1
Udupi - Kalsanka,13.332012,74.732942,11,3,traffic_accident,1
Udupi - Santhekatte,13.323352,74.736784,5,0,traffic_accident,2
Udupi - Kalsanka,13.346237,74.734179,8,6,harassment,2
Udupi - MGM College Area,13.334007,74.744328,22,1,harassment,2
Udupi - Malpe Beach Area,13.320199,74.748006,8,1,traffic_accident,3
Udupi - Malpe Beach Area,13.334911,74.75026,0,6,burglary,2
Udupi - Kalsanka,13.335047,74.755782,18,6,theft,1
Udupi - Malpe Beach Area,13.32537,74.758908,6,5,theft,2
Udupi - Santhekatte,13.323084,74.721545,21,4,suspicious_activity,1
Udupi - MGM College Area,13.333061,74.757738,13,1,theft,1
Udupi - MGM College Area,13.334418,74.74054,1,5,vandalism,3
